31.95,28.74,36.32,31.34,987.15,-21.29,25.95,50.66,-0.88,-113.0
32.08,28.76,36.32,31.06,987.12,-20.41,26.35,50.47,-2.55,-111.82
32.08,28.81,36.32,31.08,987.1,-19.57,26.66,50.08,-4.47,-110.45
32.17,28.84,36.32,31.4,987.1,-18.75,27.09,49.94,-5.38,-109.8
32.12,28.86,35.78,31.22,987.1,-17.95,27.52,49.72,-6.03,-109.33
32.21,28.94,35.78,31.47,987.17,-17.2,27.89,49.3,-7.7,-108.12
32.24,28.98,35.78,31.45,987.15,-16.26,28.37,49.13,-9.61,-106.73
32.3,28.99,35.78,30.98,987.1,-15.51,28.84,48.72,-10.51,-106.06
32.3,28.98,36.32,31.56,987.14,-14.8,28.94,48.43,-11.16,-105.57
32.24,29.04,36.32,30.94,987.11,-14.06,29.38,48.16,-12.8,-104.33
32.33,29.1,36.86,31.09,987.12,-13.29,29.88,47.83,-14.69,-102.88
32.33,29.1,36.32,31.25,987.12,-12.51,30.14,47.22,-15.58,-102.18
32.39,29.11,36.32,31.25,987.1,-12.09,30.56,46.78,-16.22,-101.67
32.4,29.1,36.32,31.28,987.11,-11.4,31.04,46.41,-17.84,-100.36
32.37,29.08,35.78,30.84,987.13,-10.77,31.36,45.74,-19.7,-98.82
32.35,29.06,36.32,31.26,987.09,-10.0,31.44,45.26,-20.57,-98.08
32.28,29.05,36.32,31.27,987.13,-9.51,31.75,44.89,-21.19,-97.54
32.31,29.04,35.78,30.91,987.17,-9.01,31.86,44.39,-22.78,-96.14
32.33,29.0,36.32,31.12,987.11,-8.35,32.08,43.61,-24.58,-94.49
32.24,29.0,36.32,30.92,987.1,-7.82,32.26,43.3,-25.43,-93.69
32.33,28.98,36.86,31.23,987.1,-7.42,32.37,42.95,-26.03,-93.1
32.22,28.97,36.32,31.01,987.12,-7.04,32.67,42.49,-27.56,-91.58
32.19,28.95,35.78,30.97,987.13,-6.54,32.8,42.22,-29.35,-89.72
32.26,28.94,36.86,31.08,987.1,-6.2,32.87,41.93,-30.11,-88.89
32.21,28.94,36.32,31.07,987.17,-5.79,32.92,41.82,-30.7,-88.25
32.15,28.93,35.78,31.32,987.09,-5.62,32.97,41.32,-32.2,-86.52
32.24,28.94,35.78,30.81,987.16,-5.1,32.83,40.79,-33.85,-84.51
32.15,28.92,35.78,31.37,987.12,-4.67,32.26,40.32,-34.62,-83.53
32.15,28.91,36.32,31.48,987.17,-4.26,32.51,39.85,-35.12,-82.87
32.19,28.91,36.32,31.64,987.11,-3.93,32.62,39.54,-36.53,-80.94
32.12,28.89,36.32,31.1,987.12,-3.72,32.78,39.22,-38.06,-78.7
32.26,28.88,36.32,31.36,987.12,-4.01,32.97,38.72,-38.77,-77.6
32.19,28.88,35.78,30.97,987.13,-3.53,32.81,38.54,-39.24,-76.86
32.04,28.88,36.32,31.39,987.13,-3.1,32.82,38.24,-40.53,-74.69
32.19,28.85,36.32,31.57,987.13,-2.71,32.66,37.96,-41.91,-72.16
32.13,28.85,35.78,31.04,987.14,-2.52,32.7,37.82,-42.54,-70.92
32.13,28.84,35.78,31.3,987.13,-2.23,32.75,37.63,-42.96,-70.08
32.13,28.83,35.78,31.24,987.15,-2.09,32.84,37.4,-44.09,-67.63
32.1,28.8,36.32,31.35,987.13,-1.81,32.81,37.03,-45.28,-64.78
32.19,28.79,35.78,31.3,987.12,-1.54,32.62,36.88,-45.82,-63.39
32.08,28.79,35.78,31.27,987.12,-1.2,32.71,36.53,-46.2,-62.36
32.12,28.79,36.86,31.22,987.12,-0.75,32.75,36.3,-47.1,-59.7
32.1,28.78,36.86,31.65,987.12,-0.5,32.75,36.21,-48.06,-56.51
32.04,28.77,36.86,31.37,987.12,-0.24,32.81,36.07,-48.48,-54.96
32.08,28.79,35.78,31.1,987.15,-0.19,32.81,35.88,-48.75,-53.91
32.06,28.78,35.78,30.99,987.13,0.16,32.65,35.73,-49.44,-50.88
32.1,28.77,35.78,31.08,987.13,0.53,32.42,35.44,-50.11,-47.39
32.01,28.77,36.32,31.39,987.13,0.81,32.46,35.01,-50.39,-45.7
31.95,28.76,36.32,31.68,987.12,1.03,32.39,34.6,-50.58,-44.47
32.03,28.77,36.32,31.4,987.13,1.26,32.38,34.32,-50.98,-41.31
32.1,28.8,36.32,30.55,987.13,1.39,32.41,34.07,-51.32,-37.6
32.1,28.83,36.32,31.25,987.13,1.64,32.17,33.77,-51.44,-35.83
32.03,28.85,36.32,31.14,987.12,1.85,31.87,33.54,-51.51,-34.54
32.13,28.88,35.78,31.1,987.13,2.08,31.79,33.28,-51.61,-31.26
32.19,28.94,35.78,31.22,987.13,2.45,31.61,32.99,-51.61,-27.47
32.22,28.96,36.32,31.09,987.11,2.61,31.51,32.55,-51.56,-25.68
32.3,28.98,35.78,31.22,987.09,2.63,31.44,32.18,-51.5,-24.39
32.33,29.04,36.32,30.84,987.12,2.85,31.33,32.36,-51.3,-21.14
32.35,29.08,35.78,31.26,987.12,2.89,31.24,31.99,-50.94,-17.44
32.33,29.1,36.32,30.8,987.14,3.12,31.08,31.83,-50.73,-15.7
32.4,29.11,36.32,31.32,987.11,3.33,30.79,31.57,-50.56,-14.47
32.44,29.15,36.32,30.59,987.11,3.19,30.79,31.34,-50.06,-11.36
32.48,29.15,36.86,31.25,987.14,3.29,30.52,31.01,-49.38,-7.88
32.42,29.14,35.78,30.68,987.11,3.41,30.28,30.74,-49.02,-6.27
32.37,29.14,36.32,31.22,987.13,3.47,30.22,30.48,-48.74,-5.12
32.49,29.11,35.78,30.92,987.1,3.54,29.98,30.5,-47.98,-2.27
32.28,29.09,35.78,31.02,987.07,3.45,29.96,30.33,-47.02,0.91
32.31,29.09,36.32,30.89,987.08,3.4,29.69,30.04,-46.53,2.37
32.39,29.08,35.78,31.25,987.08,3.48,29.65,30.03,-46.16,3.4
32.26,29.07,36.32,30.75,987.04,3.64,29.42,29.94,-45.19,5.97
32.3,29.05,36.86,30.78,987.1,3.76,29.3,29.9,-43.95,8.88
32.28,29.04,35.78,29.84,987.06,3.8,29.27,29.82,-43.36,10.19
32.31,29.03,36.86,30.98,987.09,4.03,29.27,29.59,-42.95,11.04
32.35,29.01,36.32,30.85,987.05,4.03,29.27,29.35,-41.8,13.32
32.39,29.01,35.78,31.05,987.09,4.08,29.28,29.27,-40.37,15.9
32.39,29.0,35.78,31.28,987.03,4.27,29.41,29.12,-39.69,17.06
32.26,29.0,36.86,31.11,987.06,4.22,29.3,29.05,-39.23,17.81
32.33,29.05,36.32,31.25,987.03,4.18,29.3,28.94,-37.9,19.9
32.37,29.11,36.32,30.79,987.03,4.09,29.15,28.66,-36.36,22.13
32.46,29.14,36.32,31.27,987.07,4.08,29.09,29.16,-35.61,23.16
32.42,29.16,35.78,31.27,987.05,4.08,29.23,29.02,-35.11,23.83
32.53,29.18,36.86,31.1,987.02,4.15,29.31,28.77,-33.67,25.68
32.42,29.17,35.78,31.63,987.06,4.18,29.46,28.39,-32.01,27.68
32.44,29.15,35.78,30.39,987.06,4.14,29.51,28.0,-31.22,28.6
32.39,29.14,35.78,30.82,987.01,4.16,29.86,27.52,-30.69,29.2
32.42,29.12,36.32,31.1,987.06,4.17,29.88,27.1,-29.2,30.82
32.46,29.08,35.78,31.17,987.01,4.1,29.87,26.56,-27.42,32.67
32.26,29.07,35.78,30.91,987.03,4.1,29.99,26.13,-26.58,33.51
32.44,29.06,36.32,31.0,987.02,4.82,30.33,25.49,-26.02,34.05
32.3,29.05,36.32,31.06,987.01,4.79,30.45,24.85,-24.43,35.57
32.28,29.02,36.32,30.91,987.05,4.41,30.39,24.21,-22.62,37.22
32.28,29.01,36.32,30.99,987.01,4.1,30.47,23.84,-21.76,37.99
32.21,29.0,36.32,31.5,987.0,3.89,30.71,23.26,-21.18,38.49
32.22,29.0,35.78,30.62,987.01,3.7,30.67,22.58,-19.54,39.9
32.3,28.97,36.32,30.81,986.98,3.43,30.79,21.96,-17.69,41.44
32.22,28.95,36.32,31.31,986.99,3.11,30.94,21.28,-16.8,42.15
32.17,28.95,35.78,30.75,986.96,2.87,30.86,20.79,-16.16,42.66
32.15,28.94,35.78,30.74,986.96,2.31,30.89,20.2,-14.53,43.94
32.24,28.94,36.32,29.45,987.03,1.68,30.76,19.4,-12.64,45.4
32.17,28.92,36.32,30.91,986.98,1.2,30.62,18.79,-11.75,46.07
32.04,28.9,36.32,30.72,986.96,0.53,30.48,18.52,-11.1,46.56
32.26,28.89,36.32,31.04,986.97,-0.24,30.43,17.79,-9.44,47.79
32.12,28.88,35.78,31.01,986.98,-1.01,30.21,17.05,-7.53,49.18
32.21,28.86,36.32,31.09,987.0,-1.68,29.99,16.56,-6.63,49.84
32.17,28.88,35.78,31.08,987.01,-2.39,29.61,15.95,-5.97,50.31
32.1,28.92,35.78,31.08,986.96,-3.33,29.27,15.47,-4.31,51.51
32.3,28.96,36.32,31.16,986.96,-4.5,28.88,14.93,-2.38,52.88
32.31,28.97,35.78,31.41,987.0,-5.66,28.36,14.48,-1.47,53.52
32.21,28.98,35.78,31.35,986.94,-6.57,27.95,14.1,-0.81,53.99
32.24,28.98,36.86,31.15,986.98,-7.91,27.55,13.8,0.86,55.17
32.26,28.94,35.78,31.08,986.99,-9.25,27.1,13.39,2.78,56.54
32.19,28.92,36.32,31.23,986.97,-10.62,26.55,13.22,3.69,57.18
32.21,28.92,35.78,31.15,987.02,-11.83,25.98,13.11,4.35,57.65
32.15,28.89,36.32,31.0,986.99,-12.98,25.41,12.83,6.02,58.85
32.12,28.88,36.32,31.52,986.96,-14.36,24.56,12.8,7.98,60.27
32.13,28.87,35.78,31.17,986.95,-15.84,23.79,12.79,8.84,60.9
32.12,28.86,36.32,31.27,986.98,-17.18,23.21,12.78,9.49,61.38
32.13,28.85,36.32,31.37,986.92,-18.47,22.7,12.76,11.19,62.64
32.04,28.83,35.78,31.43,986.95,-19.94,22.12,13.1,13.09,64.07
32.12,28.8,36.32,31.25,986.97,-21.34,21.43,13.4,13.99,64.76
32.04,28.8,36.32,31.31,987.02,-22.59,20.86,13.43,14.58,65.22
32.08,28.83,36.32,31.12,986.97,-23.87,20.22,13.66,16.21,66.51
32.26,28.9,36.32,31.83,986.96,-25.21,19.48,14.06,18.13,68.06
32.12,28.91,36.32,31.49,986.96,-26.51,18.64,14.59,18.96,68.74
32.26,28.92,35.78,31.57,986.95,-27.74,17.97,14.97,19.59,69.27
32.3,28.97,35.78,31.32,986.97,-28.95,17.45,15.44,21.19,70.64
32.3,28.99,36.32,31.02,986.92,-30.07,16.43,15.92,23.06,72.3
32.04,28.97,36.32,30.98,986.99,-31.22,15.64,16.29,23.91,73.08
32.19,28.96,36.32,30.96,986.94,-32.33,15.25,16.72,24.48,73.61
32.17,28.95,36.32,31.32,986.91,-33.4,14.55,17.5,26.08,75.13
32.19,28.93,36.32,31.4,986.96,-34.6,13.72,18.29,27.84,76.89
32.21,28.92,35.78,31.28,986.92,-35.71,13.0,18.94,28.67,77.75
32.19,28.91,35.78,31.47,986.9,-36.51,12.12,19.78,29.21,78.33
32.13,28.9,36.32,31.33,986.91,-37.5,11.51,20.61,30.75,80.0
32.17,28.88,35.78,31.12,986.89,-38.77,11.05,21.44,32.43,81.94
